absinthe;repousse;limace
absinthe;repousse;altise du colza
achillee millefeuille;favorise;framboisier
achillee millefeuille;favorise;romarin
achillee millefeuille;favorise;mais
achillee millefeuille;defavorise;rue fetide
agrume;favorise;lavande
agrume;favorise;tanaisie commune
agrume;favorise;absinthe
agrume;favorise;oeillet d'inde
agrume;favorise;rosier d'inde
ail;favorise;pecher
ail;favorise;pommier
ail;favorise;poirier commun
ail;favorise;prunier
ail;favorise;chicoree
ail;favorise;pissenlit
ail;favorise;topinambour
ail;favorise;tomate
ail;favorise;fraisier des bois
ail;favorise;framboisier
ail;favorise;rosier
ail;defavorise;chou
ail;defavorise;pomme de terre
ail;defavorise;haricot
ail;defavorise;pois
ail;defavorise;souci
ail;defavorise;artichaut
ail;defavorise;asperge
ail;repousse;campagnol
altise du colza;defavorise;chou
altise du colza;defavorise;chou-fleur
altise du colza;defavorise;chou-rave
altise du colza;defavorise;chou rouge
altise du colza;defavorise;radis
altise du colza;defavorise;navet
altise du colza;defavorise;moutarde
amarante;attire;carabe
amarante;defavorise;mache
aneth;favorise;chou
aneth;favorise;concombre
aneth;favorise;cornichon
aneth;favorise;bette
aneth;favorise;laitue
aneth;favorise;oignon
aneth;defavorise;carotte
aneth;repousse;puceron
angelique;attire;chrysope verte
angelique;attire;coccinelle
angelique;defavorise;aneth
angelique;defavorise;celeri
angelique;defavorise;betterave
anis;favorise;coriandre
anis;defavorise;absinthe
araignee;repousse;puceron
artichaut;favorise;chou
artichaut;favorise;laitue
artichaut;favorise;epinard
artichaut;favorise;persil
artichaut;favorise;capucine
artichaut;favorise;poireau
artichaut;defavorise;ail
artichaut;attire;bourdon
asperge;favorise;pomme de terre
asperge;favorise;concombre
asperge;favorise;persil
asperge;favorise;tomate
asperge;favorise;cornichon
asperge;favorise;poireau
asperge;favorise;pois
asperge;favorise;courge
asperge;favorise;basilic
asperge;favorise;rosier d'inde
asperge;favorise;capucine
asperge;defavorise;menthe
asperge;defavorise;betterave
asperge;defavorise;bette
asperge;defavorise;chicoree
asperge;defavorise;oignon
asperge;defavorise;ail
asperge;defavorise;ciboulette
aubergine;favorise;haricot
aubergine;defavorise;pomme de terre
baguenaudier;defavorise;pommier
basilic;favorise;tomate
basilic;favorise;piment
basilic;favorise;concombre
basilic;favorise;cornichon
basilic;favorise;courge
basilic;favorise;melon
basilic;favorise;chou
basilic;favorise;feve
basilic;favorise;courgette
basilic;favorise;fenouil
basilic;favorise;asperge
basilic;defavorise;rue fetide
basilic;defavorise;absinthe
basilic;repousse;nematode
basilic;repousse;puceron
betterave;favorise;laitue
betterave;favorise;carotte
betterave;favorise;oignon
betterave;favorise;chou
betterave;favorise;celeri
betterave;favorise;coriandre
betterave;favorise;panais
betterave;defavorise;tomate
betterave;defavorise;angelique
betterave;defavorise;asperge
betterave;defavorise;epinard
betterave;defavorise;poireau
betterave;defavorise;haricot
betterave;defavorise;mais
bourrache officinale;attire;syrphide
bourrache officinale;attire;bourdon
bourrache officinale;repousse;limace
bourrache officinale;favorise;fraisier des bois
bourrache officinale;favorise;haricot
buis;repousse;campagnol
camomille allemande;attire;coccinelle
camomille allemande;repousse;nematode
camomille allemande;favorise;chou
camomille allemande;favorise;oignon
camomille allemande;favorise;pois
camomille allemande;favorise;pomme de terre
camomille allemande;defavorise;rue fetide
camomille allemande;repousse;puceron
campagnol;defavorise;carotte
campagnol;defavorise;panais
capucine;repousse;puceron
carabe;repousse;limace
carotte;favorise;poireau
carotte;favorise;ail
carotte;favorise;oignon
carotte;favorise;echalote
carotte;favorise;ciboulette
carotte;favorise;betterave
carotte;favorise;pois
carotte;favorise;radis
carotte;favorise;laitue
carotte;favorise;roquette
carotte;favorise;panais
carotte;favorise;tomate
carotte;favorise;haricot
carotte;favorise;piment
carotte;favorise;lin
carotte;favorise;romarin
carotte;favorise;sauge
carotte;favorise;absinthe
carotte;favorise;coriandre
carotte;defavorise;aneth
carotte;defavorise;mais
carotte;defavorise;bette
carotte;attire;carabe
carotte;defavorise;carotte sauvage
carotte;repousse;thrips de l'oignon
carotte;repousse;teigne du poireau
carotte sauvage;favorise;chou
carotte sauvage;defavorise;carotte
cassis;favorise;ciboulette
cassis;favorise;absinthe
